Domain,URL,Title,Hits,date,Date Discovery,Content length,Type,source_file
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/astuces-cuisine/comment-bien-choisir-son-miel-et-reconnaitre-le-faux-miel-53394/,Comment bien choisir son miel et reconnaître le faux miel ? - Ôdélices,174,10/04/2025 07:30,10/04/2025 07:30,1731.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/conseils-bien-etre/5-astuces-pour-garder-maison-fraiche-canicule-38158/,5 astuces pour garder sa maison fraiche pendant la canicule - Ôdélices,92,20/06/2025 07:44,20/06/2025 07:44,589.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/menu-semaine-25-2025-54092/,Menu de la semaine 25 : nos idées repas faciles pour le soir (16 au 22 juin 2025) - Ôdélices,87,13/06/2025 07:27,13/06/2025 07:27,652.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/30-recettes-gaspacho-veloutes-glaces-canicule-54136/,30 recettes de gaspacho et veloutés glacés pour survivre pendant la canicule - Ôdélices,78,20/06/2025 04:45,20/06/2025 04:45,748.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/menu-de-la-semaine-24-2025-54003/,Menu de la semaine 24 : nos idées repas faciles pour le soir (9 au 15 juin 2025) - Ôdélices,76,06/06/2025 04:52,06/06/2025 04:52,720.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/batonnets-glaces-abricot-r6900/,Bâtonnets glacés à l’abricot : la recette fraicheur spécial canicule - Recettes de cuisine Ôdélices,73,19/06/2025 04:21,19/06/2025 04:21,194.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/tablette-franui-framboises-chocolat-r6916/,"Tablette Franui framboises chocolat, la recette tendance - Recettes de cuisine Ôdélices",70,25/06/2025 04:30,25/06/2025 04:30,483.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/astuces-cuisine/achetez-vous-faux-beurre-sans-le-savoir-53523/,Achetez-vous du faux beurre sans le savoir ? - Ôdélices,70,24/04/2025 04:50,24/04/2025 04:50,1262.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/conseils-bien-etre/paques-quel-age-premier-chocolat-bebe-53137/,Pâques : à quel âge on donne le premier chocolat à son bébé ? - Ôdélices,69,16/04/2025 20:01,16/04/2025 20:01,1385.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/menu-de-la-semaine-16-2025-53409/,Menu de la semaine 16 : nos idées repas faciles pour le soir (14 au 20 avril 2025) - Ôdélices,60,11/04/2025 05:03,11/04/2025 05:03,806.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/saute-poulet-brocoli-poivron-sesame-r6842/,"Sauté de poulet au brocoli, poivron et sésame - Recettes de cuisine Ôdélices",56,23/04/2025 08:14,23/04/2025 08:14,233.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/menu-de-la-semaine-18-2025-53554/,Menu de la semaine 18 : nos idées repas faciles pour le soir (28 avril au 4 mai 2025) - Ôdélices,55,25/04/2025 05:06,25/04/2025 05:06,760.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
